wavelength,cr
280.0,1.0133821659104445
281.0,0.9863504953570053
282.0,0.9632318266854873
283.0,0.9616618720826857
284.0,1.005177636361803
285.0,1.0473727357160845
286.0,1.0047997450918926
287.0,0.996440844693445
288.0,1.0085747750500884
289.0,1.0391800372374316
290.0,1.0065814505438995
291.0,0.987672143381378
292.0,1.0331885974295683
293.0,1.012862591086318
294.0,1.0460725177851695
295.0,1.0054967778518862
296.0,0.9632655295466969
297.0,0.9589546031101034
298.0,1.0495268796122077
299.0,1.0517085026761643
300.0,0.9946121876096187
301.0,0.9885010003535186
302.0,1.0438382547676848
303.0,0.9667810652755892
304.0,0.9731469907498571
305.0,1.019283339239183
306.0,0.9881378071357766
307.0,0.9998114884367735
308.0,0.9950465240359267
309.0,1.0100554687338195
310.0,1.0421225418334747
311.0,1.0025738254225567
312.0,1.0191168862215643
313.0,0.9382149051569659
314.0,0.9981518200497553
315.0,0.9741727961070528
316.0,0.9627132921903943
317.0,0.9726783709631928
318.0,0.9886638021080658
319.0,1.0257261864990397
320.0,0.9578886663841294
321.0,0.9978673032392249
322.0,0.9814879102303479
323.0,0.9849967831561615
324.0,1.0234173368361927
325.0,1.0076145883860756
326.0,1.0292841351714135
327.0,0.9816883210923355
328.0,0.9619824211791487
329.0,0.9719540314247164
330.0,0.9809127435640922
331.0,0.9729414825352376
332.0,0.9280312406630807
333.0,0.9549789882178996
334.0,0.949466183004644
335.0,1.0070271651202054
336.0,0.9751041683964825
337.0,0.8788073570397062
338.0,0.8796162209349041
339.0,0.8263376398469575
340.0,0.8326674643147177
341.0,0.8381611219247187
342.0,0.8413841282116372
343.0,0.7581649066234875
344.0,0.7337082324936537
345.0,0.6608813120448718
346.0,0.6913186523947925
347.0,0.6344670373802879
348.0,0.6201984213514378
349.0,0.5795208348654113
350.0,0.5731831566577936
351.0,0.4943643870658967
352.0,0.4755462008881855
353.0,0.5577488239223083
354.0,0.43187918101102185
355.0,0.41698321920714343
356.0,0.4875317245055802
357.0,0.5056120743914057
358.0,0.37312873108889
359.0,0.3910322519141376
360.0,0.4102466665282153
361.0,0.4539406499499463
362.0,0.3786700176008031
363.0,0.4111017239359302
364.0,0.4557444459377931
365.0,0.4629297687947812
366.0,0.45921717631233977
367.0,0.4898567216259781
368.0,0.47831068399881577
369.0,0.5399510264873557
370.0,0.5680194085851016
371.0,0.6127917548992265
372.0,0.6194217876078495
373.0,0.6804856254124289
374.0,0.7265801045457345
375.0,0.7299628627670854
376.0,0.7638853179476637
377.0,0.7816320821831317
378.0,0.8052110513777326
379.0,0.8070462308107231
380.0,0.8598835025838216
381.0,0.867322301949663
382.0,0.9510327710492972
383.0,0.9516053046307281
384.0,0.9303742266347275
385.0,0.9086112277033448
386.0,0.9092469889409743
387.0,0.9879985833617293
388.0,0.9684453595844958
389.0,0.9820485838833747
390.0,0.9213002602167297
391.0,1.0064929503778768
392.0,0.9964933096757007
393.0,0.9530105709373982
394.0,0.9750164477246328
395.0,0.9993826414066534
396.0,0.9949086060277419
397.0,0.9860618404129137
398.0,0.9929083451883763
399.0,0.9893890371151859
400.0,1.0022573232793903
401.0,1.042393869418154
402.0,0.9216877521011513
403.0,0.9919174340357647
404.0,1.0045730566442765
405.0,1.008349523906452
406.0,0.9884559346680202
407.0,0.9470184147135391
408.0,1.0096385869346818
409.0,1.0516767846404298
410.0,0.953882243846579
411.0,1.025843072680797
412.0,0.9900940542979754
413.0,0.9981254140635102
414.0,0.9683890055004458
415.0,0.9899498502278353
416.0,1.0389901391595007
417.0,1.017472092996525
418.0,1.051964274162717
419.0,1.035318976656929
420.0,1.013170364375984
421.0,1.0523165668376993
422.0,1.0131688364074192
423.0,1.0248390243913852
424.0,0.9911024718922705
425.0,1.0019961192110052
426.0,0.9790771233262815
427.0,1.029687415970315
428.0,0.9646508274343255
429.0,1.02347047057892
430.0,0.994280443777829
431.0,1.0351373977902465
432.0,1.02252606052395
433.0,1.0546193792061456
434.0,1.0219232374188487
435.0,0.9528387903541743
436.0,0.9979914036431933
437.0,0.9648397835344299
438.0,0.9844516043275165
439.0,1.0453368527655302
440.0,1.019126014192913
441.0,0.9790320870660109
442.0,0.9695884789632788
443.0,1.000983462761754
444.0,0.9635031955048277
445.0,0.9798657916704627
446.0,1.0093602841423182
447.0,1.034659361080887
448.0,1.018262844165473
449.0,0.9312613147413753
450.0,1.0091310018705417
